4.000000000000000000e+02,1.669272000000000073e-07
4.012500000000000000e+02,1.663896999999999934e-07
4.025000000000000000e+02,1.657869000000000087e-07
4.037500000000000000e+02,1.651273999999999888e-07
4.050000000000000000e+02,1.641181000000000063e-07
4.062500000000000000e+02,1.628707000000000001e-07
4.075000000000000000e+02,1.618074000000000093e-07
4.087500000000000000e+02,1.606000999999999877e-07
4.100000000000000000e+02,1.592509000000000089e-07
4.112500000000000000e+02,1.576031000000000039e-07
4.125000000000000000e+02,1.559502999999999932e-07
4.137500000000000000e+02,1.540669000000000070e-07
4.150000000000000000e+02,1.526488999999999872e-07
4.162500000000000000e+02,1.505165000000000098e-07
4.175000000000000000e+02,1.485299999999999939e-07
4.187500000000000000e+02,1.465789000000000130e-07
4.200000000000000000e+02,1.441727000000000003e-07
4.212500000000000000e+02,1.417301000000000046e-07
4.225000000000000000e+02,1.392121000000000082e-07
4.237500000000000000e+02,1.365305999999999983e-07
4.250000000000000000e+02,1.337105000000000114e-07
4.262500000000000000e+02,1.309810999999999922e-07
4.275000000000000000e+02,1.282575999999999877e-07
4.287500000000000000e+02,1.253510999999999875e-07
4.300000000000000000e+02,1.224961000000000059e-07
4.312500000000000000e+02,1.195784000000000088e-07
4.325000000000000000e+02,1.167445999999999957e-07
4.337500000000000000e+02,1.137048000000000005e-07
4.350000000000000000e+02,1.107653000000000025e-07
4.362500000000000000e+02,1.076853000000000041e-07
4.375000000000000000e+02,1.046853000000000037e-07
4.387500000000000000e+02,1.016068999999999991e-07
4.400000000000000000e+02,9.843934999999999797e-08
4.412500000000000000e+02,9.540363000000000631e-08
4.425000000000000000e+02,9.224353000000000437e-08
4.437500000000000000e+02,8.903500999999999941e-08
4.450000000000000000e+02,8.596720999999999890e-08
4.462500000000000000e+02,8.278893999999999515e-08
4.475000000000000000e+02,7.967930999999999458e-08
4.487500000000000000e+02,7.647153000000000052e-08
4.500000000000000000e+02,7.331146000000000153e-08
4.512500000000000000e+02,8.079033000000000343e-08
4.525000000000000000e+02,8.831779999999999957e-08
4.537500000000000000e+02,9.581928999999999906e-08
4.550000000000000000e+02,1.032971999999999994e-07
4.562500000000000000e+02,1.106591000000000039e-07
4.575000000000000000e+02,1.181249999999999940e-07
4.587500000000000000e+02,1.254598000000000022e-07
4.600000000000000000e+02,1.329264999999999959e-07
4.612500000000000000e+02,1.402929999999999977e-07
4.625000000000000000e+02,1.476466000000000034e-07
4.637500000000000000e+02,1.550121999999999962e-07
4.650000000000000000e+02,1.623428000000000023e-07
4.662500000000000000e+02,1.697219999999999894e-07
4.675000000000000000e+02,1.771090999999999934e-07
4.687500000000000000e+02,1.844613000000000028e-07
4.700000000000000000e+02,1.918214999999999948e-07
4.712500000000000000e+02,1.992200999999999986e-07
4.725000000000000000e+02,2.064368999999999922e-07
4.737500000000000000e+02,2.137972000000000028e-07
4.750000000000000000e+02,2.209686999999999953e-07
4.762500000000000000e+02,2.284582000000000042e-07
4.775000000000000000e+02,2.358309999999999893e-07
4.787500000000000000e+02,2.431842000000000263e-07
4.800000000000000000e+02,2.504917999999999799e-07
4.812500000000000000e+02,2.579656999999999923e-07
4.825000000000000000e+02,2.655086999999999957e-07
4.837500000000000000e+02,2.731671000000000188e-07
4.850000000000000000e+02,2.805212999999999776e-07
4.862500000000000000e+02,2.878638999999999973e-07
4.875000000000000000e+02,2.955075000000000142e-07
4.887500000000000000e+02,3.029080999999999938e-07
4.900000000000000000e+02,3.106945000000000032e-07
4.912500000000000000e+02,3.181747999999999911e-07
4.925000000000000000e+02,3.258530999999999918e-07
4.937500000000000000e+02,3.335828999999999847e-07
4.950000000000000000e+02,3.416113999999999960e-07
4.962500000000000000e+02,3.489961999999999947e-07
4.975000000000000000e+02,3.569839000000000233e-07
4.987500000000000000e+02,3.647354000000000117e-07
5.000000000000000000e+02,3.727979000000000086e-07
5.012500000000000000e+02,3.687556000000000016e-07
5.025000000000000000e+02,3.648301000000000105e-07
5.037500000000000000e+02,3.608743000000000089e-07
5.050000000000000000e+02,3.570816999999999913e-07
5.062500000000000000e+02,3.531411000000000175e-07
5.075000000000000000e+02,3.491769999999999774e-07
5.087500000000000000e+02,3.450715999999999862e-07
5.100000000000000000e+02,3.412101000000000148e-07
5.112500000000000000e+02,3.376755000000000249e-07
5.125000000000000000e+02,3.338255000000000004e-07
5.137500000000000000e+02,3.300413000000000134e-07
5.150000000000000000e+02,3.260970000000000116e-07
5.162500000000000000e+02,3.221859000000000051e-07
5.175000000000000000e+02,3.183776999999999909e-07
5.187500000000000000e+02,3.145333999999999966e-07
5.200000000000000000e+02,3.103666999999999862e-07
5.212500000000000000e+02,3.067581000000000183e-07
5.225000000000000000e+02,3.028512999999999929e-07
5.237500000000000000e+02,2.987528999999999832e-07
5.250000000000000000e+02,2.949721999999999869e-07
5.262500000000000000e+02,2.909905000000000009e-07
5.275000000000000000e+02,2.870827000000000008e-07
5.287500000000000000e+02,2.829149000000000236e-07
5.300000000000000000e+02,2.789436000000000177e-07
5.312500000000000000e+02,2.747783000000000035e-07
5.325000000000000000e+02,2.707679999999999798e-07
5.337500000000000000e+02,2.665773999999999873e-07
5.350000000000000000e+02,2.625416000000000009e-07
5.362500000000000000e+02,2.583463000000000057e-07
5.375000000000000000e+02,2.542269999999999907e-07
5.387500000000000000e+02,2.500526000000000007e-07
5.400000000000000000e+02,2.457926999999999799e-07
5.412500000000000000e+02,2.417248000000000179e-07
5.425000000000000000e+02,2.375058999999999906e-07
5.437500000000000000e+02,2.332604000000000073e-07
