# Measured spectrum of the Sun from NREL using MODTRAN
# See https://www.nrel.gov/grid/solar-resource/spectra.html, bibref MCebKur
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
2.009000000000000000e+03,5.410000000000000364e-01
2.009040999999999940e+03,3.930000000000000160e-01
2.009080999999999904e+03,2.700000000000000178e-01
2.009121000000000095e+03,1.610000000000000042e-01
2.009162000000000035e+03,7.309999999999999831e-02
2.009201999999999998e+03,7.019999999999999851e-02
2.009242999999999938e+03,1.590000000000000024e-01
2.009283000000000129e+03,2.520000000000000018e-01
2.009322999999999865e+03,3.079999999999999960e-01
2.009364000000000033e+03,4.369999999999999996e-01
2.009403999999999996e+03,5.309999999999999165e-01
2.009443999999999960e+03,5.590000000000000524e-01
2.009484999999999900e+03,5.740000000000000657e-01
2.009524999999999864e+03,6.669999999999999263e-01
2.009566000000000031e+03,7.159999999999999698e-01
2.009605999999999995e+03,7.239999999999999769e-01
2.009645999999999958e+03,7.329999999999999849e-01
2.009687000000000126e+03,7.469999999999999973e-01
2.009727000000000089e+03,7.590000000000000080e-01
2.009766999999999825e+03,7.630000000000000115e-01
2.009807999999999993e+03,7.929999999999999272e-01
2.009847999999999956e+03,7.779999999999999138e-01
2.009889000000000124e+03,7.680000000000000160e-01
2.009928999999999860e+03,7.610000000000000098e-01
2.009969000000000051e+03,7.710000000000000187e-01
2.010009999999999991e+03,8.279999999999999583e-01
2.010049999999999955e+03,9.060000000000000275e-01
2.010090999999999894e+03,9.419999999999999485e-01
2.010131000000000085e+03,9.469999999999999529e-01
2.010171000000000049e+03,9.169999999999999263e-01
2.010211999999999989e+03,8.349999999999999645e-01
2.010252000000000180e+03,7.359999999999999876e-01
2.010293000000000120e+03,6.410000000000000142e-01
2.010333000000000084e+03,5.130000000000000115e-01
2.010373999999999796e+03,4.239999999999999880e-01
2.010414000000000215e+03,4.029999999999999694e-01
2.010453999999999951e+03,4.159999999999999809e-01
2.010494999999999891e+03,4.749999999999999778e-01
2.010535000000000082e+03,4.910000000000000475e-01
2.010576000000000022e+03,4.640000000000000235e-01
2.010615999999999985e+03,4.559999999999999609e-01
2.010655999999999949e+03,4.149999999999999800e-01
2.010697000000000116e+03,4.100000000000000311e-01
2.010737000000000080e+03,4.819999999999999840e-01
2.010778000000000020e+03,5.369999999999999218e-01
2.010817999999999756e+03,5.230000000000000204e-01
2.010859000000000151e+03,5.910000000000000808e-01
2.010898999999999887e+03,6.009999999999999787e-01
2.010940000000000055e+03,6.580000000000000293e-01
2.010980000000000018e+03,7.469999999999999973e-01
2.011019999999999982e+03,8.500000000000000888e-01
2.011060999999999922e+03,8.519999999999999796e-01
2.011100999999999885e+03,7.929999999999999272e-01
2.011142000000000053e+03,6.689999999999999281e-01
2.011182000000000016e+03,5.819999999999999618e-01
2.011222999999999956e+03,4.969999999999999418e-01
2.011262999999999920e+03,3.950000000000000178e-01
2.011304000000000087e+03,4.109999999999999765e-01
2.011344000000000051e+03,4.859999999999999876e-01
2.011384000000000015e+03,5.080000000000000071e-01
2.011425000000000182e+03,4.490000000000000102e-01
2.011465000000000146e+03,4.380000000000000004e-01
2.011505999999999858e+03,3.689999999999999947e-01
2.011545999999999822e+03,2.390000000000000180e-01
2.011586999999999989e+03,1.590000000000000024e-01
2.011626999999999953e+03,1.570000000000000007e-01
2.011667999999999893e+03,1.519999999999999962e-01
2.011708000000000084e+03,1.680000000000000104e-01
2.011749000000000024e+03,2.540000000000000036e-01
2.011788999999999987e+03,3.500000000000000333e-01
2.011829999999999927e+03,4.319999999999999951e-01
2.011870000000000118e+03,4.539999999999999591e-01
2.011911000000000058e+03,5.140000000000000124e-01
2.011951000000000022e+03,5.649999999999999467e-01
2.011990999999999985e+03,5.829999999999999627e-01
2.012032000000000153e+03,5.570000000000000506e-01
2.012072000000000116e+03,5.440000000000000391e-01
2.012112999999999829e+03,5.230000000000000204e-01
2.012153000000000247e+03,5.190000000000000169e-01
2.012193999999999960e+03,5.270000000000000240e-01
2.012233999999999924e+03,6.119999999999999885e-01
2.012274999999999864e+03,7.630000000000000115e-01
2.012315000000000055e+03,8.699999999999998845e-01
2.012355999999999995e+03,9.270000000000000462e-01
2.012395999999999958e+03,9.190000000000000391e-01
2.012436999999999898e+03,8.659999999999998810e-01
2.012477000000000089e+03,8.139999999999999458e-01
2.012518000000000029e+03,7.790000000000000258e-01
2.012557999999999993e+03,7.309999999999999831e-01
2.012598999999999933e+03,7.270000000000000906e-01
2.012639000000000124e+03,7.680000000000000160e-01
2.012680000000000064e+03,8.070000000000000506e-01
2.012719999999999800e+03,8.210000000000000631e-01
2.012761000000000195e+03,8.160000000000000586e-01
2.012800999999999931e+03,7.810000000000000275e-01
2.012842000000000098e+03,7.650000000000000133e-01
2.012881999999999834e+03,7.790000000000000258e-01
2.012923000000000229e+03,7.889999999999999236e-01
2.012962999999999965e+03,7.610000000000000098e-01
2.013003999999999905e+03,7.409999999999999920e-01
2.013044999999999845e+03,7.359999999999999876e-01
2.013085000000000036e+03,7.069999999999999618e-01
2.013125999999999976e+03,6.410000000000000142e-01
2.013165999999999940e+03,6.149999999999999911e-01
2.013206999999999880e+03,6.770000000000000462e-01
2.013247000000000071e+03,7.179999999999999716e-01
2.013288000000000011e+03,6.919999999999999485e-01
2.013327999999999975e+03,7.049999999999999600e-01
2.013369000000000142e+03,7.690000000000000169e-01
2.013409000000000106e+03,7.069999999999999618e-01
2.013450000000000045e+03,5.729999999999999538e-01
2.013489999999999782e+03,5.450000000000000400e-01
2.013531000000000176e+03,4.979999999999999982e-01
2.013570999999999913e+03,4.519999999999999574e-01
2.013612000000000080e+03,4.139999999999999791e-01
2.013652999999999793e+03,4.159999999999999809e-01
2.013693000000000211e+03,4.709999999999999742e-01
2.013733999999999924e+03,5.459999999999999298e-01
2.013773999999999887e+03,5.360000000000000320e-01
2.013814999999999827e+03,5.170000000000000151e-01
2.013855000000000018e+03,5.080000000000000071e-01
2.013895999999999958e+03,3.830000000000000071e-01
2.013935999999999922e+03,2.479999999999999982e-01
2.013976999999999862e+03,1.819999999999999951e-01
2.014018000000000029e+03,2.749999999999999667e-01
2.014057999999999993e+03,3.950000000000000178e-01
2.014098999999999933e+03,5.559999999999999387e-01
2.014139000000000124e+03,6.949999999999999512e-01
2.014180000000000064e+03,7.029999999999999583e-01
2.014220000000000027e+03,6.290000000000000036e-01
2.014260999999999967e+03,5.879999999999999671e-01
2.014302000000000135e+03,5.599999999999999423e-01
2.014342000000000098e+03,6.059999999999999831e-01
2.014383000000000038e+03,7.329999999999999849e-01
2.014422999999999774e+03,7.870000000000000329e-01
2.014464000000000169e+03,7.119999999999999662e-01
2.014503999999999905e+03,5.709999999999999520e-01
2.014545000000000073e+03,4.049999999999999711e-01
2.014585999999999785e+03,3.380000000000000226e-01
2.014626000000000204e+03,3.910000000000000142e-01
2.014666999999999916e+03,4.899999999999999911e-01
