# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
9.746269999999999527e+02,2.566398399999999834e-13
9.756040000000000418e+02,3.307679700000000128e-13
9.765819999999999936e+02,3.764947999999999883e-13
9.775610000000000355e+02,3.992790800000000052e-13
9.785410000000000537e+02,4.138357100000000091e-13
9.795220000000000482e+02,4.282341400000000209e-13
9.805040000000000191e+02,4.370155800000000029e-13
9.814869999999999663e+02,4.420787699999999771e-13
9.824710000000000036e+02,4.514139999999999787e-13
9.834560000000000173e+02,4.601954699999999679e-13
9.844420000000000073e+02,4.561607000000000477e-13
9.854279999999999973e+02,4.586923300000000095e-13
9.864160000000000537e+02,4.727742700000000152e-13
9.874049999999999727e+02,4.583758500000000395e-13
9.883949999999999818e+02,4.248323200000000046e-13
9.893859999999999673e+02,3.954817000000000192e-13
9.903780000000000427e+02,3.911305399999999992e-13
9.913709999999999809e+02,4.370155800000000029e-13
9.923650000000000091e+02,4.734862699999999621e-13
9.933590000000000373e+02,4.847993000000000141e-13
9.943550000000000182e+02,4.617776999999999621e-13
9.953519999999999754e+02,4.664453000000000097e-13
9.963500000000000227e+02,4.932643399999999613e-13
9.973490000000000464e+02,5.046564999999999914e-13
9.983490000000000464e+02,5.150201600000000324e-13
9.993490000000000464e+02,5.264123600000000048e-13
1.000350999999999999e+03,5.422347699999999897e-13
1.001354000000000042e+03,5.598768000000000040e-13
1.002357999999999947e+03,5.731675999999999982e-13
1.003363000000000056e+03,5.843223999999999498e-13
1.004369000000000028e+03,5.888317999999999548e-13
1.005375999999999976e+03,5.889108999999999761e-13
1.006384000000000015e+03,5.883571599999999854e-13
1.007392000000000053e+03,5.929456699999999973e-13
1.008402000000000044e+03,6.011733000000000391e-13
1.009413000000000011e+03,6.069484999999999961e-13
1.010424999999999955e+03,6.198437999999999846e-13
1.011437999999999988e+03,6.315524000000000424e-13
1.012451999999999998e+03,6.365364500000000024e-13
1.013466999999999985e+03,6.473748399999999840e-13
1.014482999999999947e+03,6.551277999999999987e-13
1.015500000000000000e+03,6.657288700000000461e-13
1.016518000000000029e+03,6.850322000000000181e-13
1.017537000000000035e+03,6.911238599999999740e-13
1.018557000000000016e+03,6.835291000000000021e-13
1.019577999999999975e+03,6.715831000000000245e-13
1.020600999999999999e+03,6.517260000000000040e-13
1.021624000000000024e+03,6.228500999999999735e-13
1.022648000000000025e+03,5.544971499999999805e-13
1.023673000000000002e+03,4.239620800000000223e-13
1.024699000000000069e+03,2.498362000000000013e-13
1.025727000000000089e+03,1.525282500000000069e-13
1.026755000000000109e+03,2.525260300000000058e-13
1.027784000000000106e+03,4.358288999999999929e-13
1.028815000000000055e+03,5.918381000000000447e-13
1.029846000000000004e+03,7.001426300000000273e-13
1.030877999999999929e+03,7.598722999999999872e-13
1.031912000000000035e+03,8.037795700000000488e-13
1.032945999999999913e+03,8.441268000000000297e-13
1.033981999999999971e+03,8.678604000000000287e-13
1.035018000000000029e+03,8.662781999999999912e-13
1.036056000000000040e+03,8.196020000000000048e-13
1.037095000000000027e+03,8.172286599999999559e-13
1.038134000000000015e+03,8.987141499999999869e-13
1.039174999999999955e+03,9.517192999999999067e-13
1.040217000000000098e+03,9.730795999999999000e-13
1.041259999999999991e+03,9.896930999999999685e-13
1.042303000000000111e+03,9.936486999999999684e-13
1.043347999999999956e+03,9.920666000000000896e-13
1.044394000000000005e+03,1.007889000000000089e-12
1.045441000000000031e+03,1.030040300000000094e-12
1.046489000000000033e+03,1.049818399999999949e-12
1.047538999999999987e+03,1.054565200000000075e-12
1.048588999999999942e+03,1.061685199999999948e-12
1.049640000000000100e+03,1.095703500000000068e-12
1.050692000000000007e+03,1.120228299999999992e-12
1.051744999999999891e+03,1.128139499999999991e-12
1.052799999999999955e+03,1.140006299999999991e-12
1.053855000000000018e+03,1.159784299999999990e-12
1.054912000000000035e+03,1.175606699999999989e-12
1.055969000000000051e+03,1.200131499999999913e-12
1.057028000000000020e+03,1.228611900000000039e-12
1.058087999999999965e+03,1.246016499999999975e-12
1.059147999999999911e+03,1.242852099999999900e-12
1.060210000000000036e+03,1.248390000000000096e-12
1.061272999999999911e+03,1.276870299999999962e-12
1.062336999999999989e+03,1.272123600000000095e-12
1.063402000000000044e+03,1.263421199999999968e-12
1.064468000000000075e+03,1.300603899999999961e-12
1.065535000000000082e+03,1.310097399999999955e-12
1.066603000000000065e+03,1.295857200000000094e-12
1.067673000000000002e+03,1.294274999999999955e-12
1.068742999999999938e+03,1.321173100000000087e-12
1.069814000000000078e+03,1.382089400000000078e-12
1.070886999999999944e+03,1.422436700000000059e-12
1.071960000000000036e+03,1.439841400000000053e-12
1.073035000000000082e+03,1.446961499999999983e-12
1.074111000000000104e+03,1.471486200000000051e-12
1.075188000000000102e+03,1.500757700000000044e-12
1.076266000000000076e+03,1.530820399999999962e-12
1.077344000000000051e+03,1.571958699999999955e-12
1.078423999999999978e+03,1.603603499999999953e-12
1.079505000000000109e+03,1.632874999999999946e-12
1.080587999999999965e+03,1.658190899999999940e-12
1.081671000000000049e+03,1.666102199999999997e-12
1.082755000000000109e+03,1.665311000000000072e-12
1.083840999999999894e+03,1.632874999999999946e-12
1.084926999999999907e+03,1.620217100000000080e-12
1.086015000000000100e+03,1.689835799999999996e-12
1.087104000000000042e+03,1.780023599999999980e-12
1.088193999999999960e+03,1.815624100000000037e-12
1.089285000000000082e+03,1.834611000000000168e-12
1.090376999999999953e+03,1.840148999999999816e-12
1.091470000000000027e+03,1.856762400000000029e-12
1.092564000000000078e+03,1.904229800000000142e-12
1.093659000000000106e+03,1.944576900000000008e-12
1.094756000000000085e+03,1.942203600000000002e-12
1.095853000000000065e+03,1.856762400000000029e-12
1.096951999999999998e+03,1.769739099999999975e-12
1.098050999999999931e+03,1.825117499999999973e-12
1.099152000000000044e+03,1.918470000000000003e-12
1.100253999999999905e+03,2.044258200000000188e-12
1.101356999999999971e+03,2.236501000000000186e-12
1.102461000000000013e+03,2.427161100000000160e-12
1.103566000000000031e+03,2.604372399999999910e-12
1.104673000000000002e+03,2.742818799999999933e-12
1.105779999999999973e+03,2.937434600000000167e-12
1.106888999999999896e+03,3.311635000000000156e-12
1.107998000000000047e+03,4.326644000000000118e-12
1.109108999999999924e+03,7.512491000000000205e-12
1.110221000000000004e+03,1.479397499999999867e-11
1.111334000000000060e+03,2.317986400000000003e-11
1.112448000000000093e+03,3.283154699999999927e-11
1.113563000000000102e+03,3.742796400000000109e-11
1.114680000000000064e+03,4.600371999999999817e-11
1.115797000000000025e+03,8.148552999999999923e-11
1.116915999999999940e+03,8.219753399999999608e-11
1.118035000000000082e+03,7.950773000000000013e-11
1.119155999999999949e+03,1.132094999999999982e-10
1.120278000000000020e+03,1.102032400000000009e-10
1.121401000000000067e+03,7.164397499999999816e-11
1.122526000000000067e+03,6.953958999999999571e-11
1.123651000000000067e+03,1.278452499999999882e-10
1.124777000000000044e+03,1.575914300000000068e-10
1.125904999999999973e+03,1.610723600000000110e-10
1.127034000000000106e+03,1.336995499999999997e-10
1.128163999999999987e+03,8.203930999999999771e-11
1.129295000000000073e+03,5.935785999999999483e-11
1.130426999999999907e+03,9.651683600000000227e-11
1.131559999999999945e+03,1.453290399999999924e-10
1.132693999999999960e+03,1.506295600000000055e-10
1.133829999999999927e+03,1.321964199999999946e-10
1.134965999999999894e+03,1.452499400000000066e-10
1.136104000000000042e+03,1.799010499999999926e-10
1.137242999999999938e+03,1.763410100000000098e-10
1.138383000000000038e+03,1.253136599999999978e-10
1.139525000000000091e+03,6.949212000000000621e-11
1.140666999999999916e+03,7.321830599999999815e-11
1.141809999999999945e+03,1.037160400000000065e-10
1.142954999999999927e+03,1.065640799999999948e-10
1.144101000000000113e+03,1.105196899999999988e-10
1.145248000000000047e+03,1.441423599999999981e-10
1.146395999999999958e+03,1.537940499999999917e-10
1.147545000000000073e+03,1.461992700000000017e-10
1.148695999999999913e+03,1.583825399999999929e-10
1.149846999999999980e+03,1.687462400000000126e-10
1.151000000000000000e+03,1.682715600000000000e-10
1.152153999999999996e+03,1.575123200000000023e-10
1.153308999999999969e+03,1.496010999999999943e-10
1.154464999999999918e+03,1.571958699999999914e-10
1.155622000000000071e+03,1.479397399999999873e-10
1.156780999999999949e+03,1.105196899999999988e-10
1.157941000000000031e+03,7.690493400000000549e-11
1.159101000000000113e+03,8.860561999999999661e-11
1.160262999999999920e+03,1.236523100000000095e-10
1.161426999999999907e+03,1.355982399999999943e-10
1.162590999999999894e+03,1.298230600000000060e-10
1.163756000000000085e+03,1.117063700000000060e-10
